#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1022 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:35 type:b dur:2 cpbdur:2 q:23.78 aq:17.79 tex:1939 mv:544 misc:509 imb:3 pmb:94 smb:823 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:23.78 aq:19.47 tex:3312 mv:360 misc:424 imb:0 pmb:73 smb:847 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:23.16 aq:15.53 tex:39869 mv:1334 misc:1005 imb:41 pmb:315 smb:564 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:23.47 aq:17.99 tex:3048 mv:338 misc:478 imb:1 pmb:78 smb:841 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:23.62 aq:20.13 tex:3489 mv:497 misc:318 imb:3 pmb:53 smb:864 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:23.32 aq:18.90 tex:2226 mv:307 misc:251 imb:3 pmb:33 smb:884 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:22.13 aq:15.41 tex:38928 mv:750 misc:1034 imb:14 pmb:448 smb:458 d:- ref:0 ;
in:43 out:42 type:P dur:2 cpbdur:2 q:21.89 aq:14.74 tex:23952 mv:555 misc:861 imb:9 pmb:210 smb:701 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:22.01 aq:18.13 tex:3714 mv:352 misc:270 imb:0 pmb:39 smb:881 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:24.09 aq:17.66 tex:19876 mv:624 misc:580 imb:5 pmb:112 smb:803 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:22.99 aq:18.31 tex:4110 mv:256 misc:306 imb:0 pmb:43 smb:877 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:22.44 aq:18.90 tex:2618 mv:256 misc:262 imb:0 pmb:37 smb:883 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:23.54 aq:17.51 tex:2447 mv:292 misc:213 imb:0 pmb:33 smb:887 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:23.13 aq:16.35 tex:26077 mv:1071 misc:916 imb:50 pmb:301 smb:569 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:22.93 aq:16.57 tex:26680 mv:749 misc:611 imb:17 pmb:122 smb:781 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:23.03 aq:18.05 tex:4704 mv:272 misc:328 imb:0 pmb:49 smb:871 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:23.08 aq:19.31 tex:2419 mv:189 misc:240 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:22.98 aq:17.99 tex:4247 mv:366 misc:211 imb:1 pmb:31 smb:888 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:22.20 aq:14.08 tex:11462 mv:406 misc:540 imb:7 pmb:86 smb:827 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:21.99 aq:13.21 tex:9235 mv:306 misc:507 imb:5 pmb:72 smb:843 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:21.79 aq:13.45 tex:20584 mv:356 misc:372 imb:14 pmb:50 smb:856 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:21.89 aq:17.97 tex:5815 mv:300 misc:301 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:21.94 aq:18.43 tex:3464 mv:311 misc:209 imb:1 pmb:27 smb:892 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:21.84 aq:18.12 tex:5416 mv:308 misc:196 imb:0 pmb:29 smb:891 d:- ref:0 ;
